Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Carmona, Juandiego; Fusaroli, Riccardo; Weed, Ethan; Nguyen, Khanhvy; Naigles, Letitia; ","Should we wave, ask, run, steal? Categorizing aliens by teens with typical development or ASD",SRCD 2021 Biennial Meeting,,,,2021,
"Weed, Ethan; Fusaroli, Riccardo; ",No Acoustic Evidence from RHD for a Right Hemisphere Role in Prosody Production: A Meta-Analysis,The Ninth Annual Meeting of the Society for the Neurobiology of Language,,,,2017,
"Corrigan, Grace; Fusaroli, Riccardo; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ",Autistic and neurotypical child-to-caregiver alignment in a cooperative task,16th Annual International Congress for the Study of Child Language,,,,2024,
"Fumel, Jules; Bahuaud, D; Weed, E; Fusaroli, R; Basirat, Anahita; ",Impact of Parkinson’s disease on linguistic prosody production: a systematic review and meta-analysis,Meeting of the Society for the Neurobiology of Language,,,,2023,
"Fusaroli, Riccardo; Grossman, Ruth; Cantio, Cathriona; Bilenberg, Niels; Weed, Ethan; ",The temporal structure of the autistic voice: A cross-linguistic examination,IMFAR 2015,,,,2015,
"Fusaroli, Riccardo; Cox, Christopher; Weed, Ethan; Szabó, Balázs István; Fein, Deborah; Naigles, Letitia; ",The development of turn‐taking skills in typical development and autism,Cognitive science,49,7,e70082,2025,
"Fusaroli, Riccardo; Cox, Christopher Martin Mikkelsen; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ",The Development of Turn-Taking Skills in Autistic and Typically Developing Children,INSAR 2024,,,,2024,
"Weed, Ethan; ","Cloze, but not cloze enough: An inference-based cloze test only moderately predicts reading comprehension in proficient adult readers",The Ninth Conference of The Scandinavian Association for Language and Cognition,,,,2024,
"Fumel, Jules; Bahuaud, Delphine; Weed, Ethan; Fusaroli, Riccardo; Basirat, Anahita; ",A systematic review and bayesian meta-analysis of acoustic measures of prosody in Parkinson's disease,"Journal of Speech, Language, and Hearing Research",67,8,2548-2564,2024,American Speech-Language-Hearing Association
"Liu, Talia; Davison, Kelsey E; Kershenbaum, Ayelet M; Weed, Ethan; Gabrieli, John DE; Tager-Flusberg, Helen; Zuk, Jennifer; ",Rethinking prosody production in autism: Nuanced insights from individual differences and network analysis approaches,"Journal of Speech, Language, and Hearing Research",,,1-19,2026,American Speech-Language-Hearing Association
"Weed, Ethan; Fusaroli, Riccardo; Grossman, Ruth; ",What's Up With Pitch Variation?,Meeting on Language in Autism,,,,2024,
"de Place Bak, Petra; Weed, Ethan; ",Cognitive Attraction and the Spread of Misinformation on Danish Facebook,,,,,,OSF
"Weed, Ethan; ",Time to Give Up on Vocal Markers of Autism?,EDULANG 2024: Variation & Diversity in Language Acquisition & Processing,,,,2024,
"de Place Bak, Petra; Weed, Ethan; ","Sharing, commenting, and reacting to Danish misinformation: A case study of cognitive attraction on Facebook",Nordicom Review,46,1,55-75,2025,De Gruyter Poland
"Corrigan, Grace; Fusaroli, Riccardo; Weed, Ethan; Naigles, Letitia; ",Caregivers’ Linguistic Alignment to Autistic and Neurotypical Teenagers,INSAR 2025,,,,2025,INSAR
"Verastegui, Nolyette; Corrigan, Grace; Boo, Cynthia; Fusaroli, Riccardo; Weed, Ethan; Naigles, Letitia; ",‘Uh Huh’: Backchanneling By Autistic and Neurotypical Teens and Their Caregivers in a Collaborative Task,INSAR 2025,,,,2025,INSAR
"Fusaroli, Riccardo; Weed, Ethan; Cox, Christopher Martin Mikkelsen; Szabó, Balázs István; Fein, Deborah; Naigles, Letitia; ",Increased Acoustic Accommodation to Caregivers in Autistic Children: A Longitudinal Study,Meeting On Language and Autism,,,,2026,
"Schillinger, Sarah; O'Connor, Hanna; Groves, Emily; Franke, Hanna; Abashidze, N; Peterson, C; Shen, Stella; Prescott, K; Cox, Christopher Martin Mikkelsen; Weed, Ethan; ",“A quick hello”: Exploring informal self-introductions of autistic and non-autistic adolescents over Zoom,Meeting On Language and Autism,,,,2026,
"Fusaroli, Riccardo; Cox, Christopher Martin Mikkelsen; Weed, Ethan; Szabó, Balázs István; Fein, Deborah; Naigles, Letitia; ",A Longitudinal Investigation of Acoustic Conversational Speech Properties in Autistic and Typically Developing Children,INSAR 2026,,,,2026,
"Shen, Stella; Prescott, K; Peterson, C; Schillinger, Sarah; O'Connor, Sarah; Groves, Elana; Franke, Hannah; Abashidze, N; Weed, Ethan; Fusaroli, Riccardo; ",Comparing Direct and Parent-Report Measures of Expressive Language Abilities in Autistic and Neurotypical Teenagers.,Meeting On Language and Autism,,,,2026,
"Groves, Elana; Schillinger, Sarah; O'Connor, Hanna; Franke, Hannah; Abashidze, N; Peterson, C; Shen, Stella; Cox, Christopher Martin Mikkelsen; Weed, Ethan; Fusaroli, Riccardo; ",Neurotype and Sex Effects on Conversational Initiation in a Virtual Task-Based Interaction,Meeting On Language and Autism,,,,2025,
"Ottosen, Helle Fredslund; Bønnerup, Katrine H; Weed, Ethan; Parrila, Rauno; ",CORRECTION: Correction to: Identifying dyslexia at the university: assessing phonological coding is not enough,,,,,2022,
"Schillinger, Sarah; O'Connor, Hanna; Franke, Hannah; Peterson, C; Groves, Elana; Abashidze, N; Shen, Stella; Prescott, K; Cox, Christopher Martin Mikkelsen; Weed, Ethan; ",What I say versus what you see: Do self-reported autistic characteristics and camouflaging behaviors predict diagnostic impressions from naive peers?,INSAR 2026,,,,2026,
"Fusaroli, Riccardo; Weed, Ethan; Cox, Christopher Martin Mikkelsen; Szabó, Balázs István; Fein, Deborah; Naigles, Letitia; ",Acoustic Accommodation to Caregivers Is Stronger in Autistic Children,INSAR 2026,,,,2026,
"Weed, Ethan; Groves, Elana; Fusaroli, Riccardo; Grossman, Ruth; ",Perceptual Consensus across Neurotypes: Autistic and Non-Autistic Raters Agree on What Makes a Good Narrating Voice,INSAR 2026,,,,2026,
"Groves, Elana; Franke, Hannah; Peterson, C; Shen, Stella; Schillinger, Sarah; O'Connor, Sarah; Abashidze, N; Cox, Christopher Martin Mikkelsen; Weed, Ethan; Fusaroli, Riccardo; ","Strategy Matters: Neurotype, Sex, and Initiation Strategy Effects on Collaborative Task Success",INSAR 2026,,,,2026,
"Groves, Elana; Schillinger, Sarah; O'Connor, Hanna; Franke, Hannah; Abashidze, N; Peterson, C; Shen, Stella; Cox, Christopher Martin Mikkelsen; Weed, Ethan; Fusaroli, Riccardo; ",Stick or Switch? Does Task Success Affect Strategy Use on a Collaborative Task between Autistic and Non-Autistic Teens,INSAR 2026,,,,2026,
"Franke, Hannah; O'Connor, Hanna; Schillinger, Sarah; Shen, Stella; Peterson, C; Abashidze, N; Groves, Elana; Fusaroli, Riccardo; Weed, Ethan; Eigsti, Inge-Marie; ",Investigating the Relationship between Laughter and Conversational Enjoyment in Autistic and Non-Autistic Teens,INSAR 2026,,,,2026,
